ID,LE-1b,LT-3a,LT-4a,LE-1a,LT-4b,LE-2b,LM-4b,LE-2a,LE-3a,LM-4a,LM-4d,LE-3b,LM-4c,LE-4a,LE-4b,LM-1a,LE-4c,LM-1b,LM-2b,LM-2a,LV-1b,LV-1a,LM-3b,LM-3a,LM-3c,LV-2b,LV-2a,LV-3c,LV-3b,LV-3a,LV-4b,LV-4a,CB-1a,CB-2a,CB-2b,CB-3c,CB-3b,CB-3a,CB-4a,CB-4b,CB-1b,LT-1a,LT-1c,LT-1b,LT-2b,LT-2a
LE-1b,0.0,86984.0193475,86988.3266762,0.905848294953,86987.7460025,7.22700716589,96250.1166646,8.55109705306,16.9503781131,96250.131283,96250.4917221,16.1565447008,96250.1268959,31.8633955679,32.2263150792,96266.969491,31.9527949688,96266.7870758,96260.7701031,96260.8053094,2919.28285691,2917.972742,96263.7948692,96263.2379543,96261.6472997,2908.05754334,2909.82163855,2908.8458997,2907.62479466,2907.43275099,2894.90823476,2893.6823358,82995.3000751,82997.837036,82997.0495832,83007.5609729,83006.9442144,83005.9078498,83015.3120824,83019.7335317,82993.8540575,86975.2964594,86976.2685391,86975.4293413,86979.5936054,86979.1185596
LT-3a,86984.0193475,0.0,5.71383818239,86984.8889975,4.56848152362,86991.1397596,17336.3340281,86992.5588055,87000.596858,17335.3800876,17335.5352617,87000.0498064,17335.6662665,87015.8821382,87016.2390037,17353.4060625,87015.9460079,17354.1779452,17350.7866202,17350.2645722,84354.4395391,84356.0908847,17354.5298989,17353.7380224,17353.5850514,84367.5812236,84366.1642575,84369.5346817,84371.8168678,84372.4900687,84381.580227,84382.6495047,29533.9526756,29528.7482884,29524.6489697,29521.421768,29522.7455441,29522.9727163,29520.513601,29523.2209553,29531.9542138,16.1465783772,13.885281979,15.0516336725,7.30011108842,6.96014898201
LT-4a,86988.3266762,5.71383818239,0.0,86989.1963153,1.2542863132,86995.4471417,17337.6664915,86996.8661535,87004.9040341,17336.7123167,17336.8673837,87004.3570482,17336.9985659,87020.1894753,87020.5463606,17354.7358742,87020.2533923,17355.5080149,17352.1182838,17351.5960968,84358.6908322,84360.3421602,17355.8612495,17355.069406,17354.9170345,84371.8324591,84370.4154426,84373.7856586,84376.0677612,84376.7409204,84385.8315242,84386.9008292,29531.673315,29526.4684408,29522.3692331,29519.1401419,29520.4640369,29520.6913947,29518.230592,29520.9371804,29529.6750959,21.6917973458,19.4609256767,20.6399667163,12.9482994223,12.6657062092
LE-1a,0.905848294953,86984.8889975,86989.1963153,0.0,86988.6156448,6.42594284293,96251.0156305,7.70164260898,16.0471132477,96251.0302474,96251.3906865,15.2627404434,96251.0258608,30.9964058686,31.3631716505,96267.8684669,31.0954484086,96267.686053,96261.6690805,96261.7042861,2919.96059369,2918.65025678,96264.6938495,96264.1369339,96262.5462804,2908.73384478,2910.49786313,2909.52095893,2908.29929938,2908.10702199,2895.58349861,2894.35761316,82996.0321382,82998.5691332,82997.7817066,83008.2931197,83007.6763525,83006.6399862,83016.0442371,83020.4656702,82994.5861331,86976.1661491,86977.1382227,86976.2990273,86980.4632724,86979.988224
LT-4b,86987.7460025,4.56848152362,1.2542863132,86988.6156448,0.0,86994.8664522,17336.9499276,86996.2854741,87004.3234055,17335.9957962,17336.150883,87003.7764002,17336.2820324,87019.6087991,87019.9656785,17354.0198018,87019.6727021,17354.7918947,17351.4018682,17350.8797069,84358.1266755,84359.7780086,17355.1448919,17354.3530423,17354.2005597,84371.2683193,84369.8513176,84373.2215947,84375.5037218,84376.1768932,84385.2673663,84386.3366633,29532.5579636,29527.353172,29523.2539455,29520.0251749,29521.3490497,29521.576376,29519.1158595,29521.8225779,29530.5597033,20.4551807665,18.229998029,19.4106468562,11.7402278053,11.4874977632
LE-2b,7.22700716589,86991.1397596,86995.4471417,6.42594284293,86994.8664522,0.0,96256.9483971,1.62447603944,10.593165969,96256.9630449,96257.3234859,9.48475247051,96256.958649,24.7642494219,25.1059859074,96273.8010101,24.8063097144,96273.6185679,96267.6015887,96267.6368117,2926.24874982,2924.93792449,96270.6262957,96270.0693949,96268.4787157,2915.01883193,2916.78267945,2915.80318003,2914.58027952,2914.3874778,2901.8661789,2900.64032379,83002.4177584,83004.9547994,83004.167408,83014.6788527,83014.0620738,83013.0257051,83022.4299806,83026.8513917,83000.9717701,86982.4166783,86983.3887874,86982.5495776,86986.713935,86986.2389014
LM-4b,96250.1166646,17336.3340281,17337.6664915,96251.0156305,17336.9499276,96256.9483971,0.0,96258.4754561,96267.0459885,1.20214343237,1.33172515075,96266.2631569,0.841500402535,96281.5397277,96281.8188055,18.9717966842,96281.4279015,19.3443596952,14.6662584741,14.2350604599,93858.9910427,93860.6837167,18.5240221097,17.7269192724,17.3158562517,93872.1648623,93870.9476475,93875.0205062,93877.5720273,93878.3856857,93885.756695,93886.7138802,46702.7203464,46697.3491597,46693.2989476,46689.3883409,46690.7528057,46691.0473703,46687.9759953,46690.3970356,46700.8145847,17328.3408504,17329.7205289,17329.3667229,17333.2411143,17334.2262276
LE-2a,8.55109705306,86992.5588055,86996.8661535,7.70164260898,86996.2854741,1.62447603944,96258.4754561,0.0,8.97029989422,96258.490097,96258.8505375,7.88479476403,96258.4857032,23.3246696019,23.6811207317,96275.3281193,23.4025008549,96275.1456834,96269.1287057,96269.1639248,2927.19446795,2925.88315645,96272.1534266,96271.5965224,96270.0058491,2915.961409,2917.72508754,2916.7430374,2915.51892419,2915.32561133,2902.80648912,2901.58066403,83003.4844173,83006.0215366,83005.2342054,83015.7457038,83015.1289051,83014.0925324,83023.4968498,83027.9182235,83002.0384577,86983.8358477,86984.807938,86983.9687359,86988.1330337,86987.6579923
LE-3a,16.9503781131,87000.596858,87004.9040341,16.0471132477,87004.3234055,10.593165969,96267.0459885,8.97029989422,0.0,96267.0605963,96267.4210348,1.61671312873,96267.0562124,15.7344583596,16.1940046233,96283.8988913,16.0907330627,96283.7164857,96277.6995153,96277.7347157,2932.77336909,2931.45947932,96280.7243025,96280.1673826,96278.5767367,2921.52366088,2923.28643554,2922.29083493,2921.06028126,2920.86425254,2908.35674159,2907.13108027,83009.6951212,83012.2326545,83011.4456407,83021.9574235,83021.3405195,83020.3041259,83029.7086644,83034.1298408,83008.2493131,86991.874522,86992.8465177,86992.007354,86996.1713518,86995.6962709
LM-4a,96250.131283,17335.3800876,17336.7123167,96251.0302474,17335.9957962,96256.9630449,1.20214343237,96258.490097,96267.0605963,0.0,0.368315676298,96266.2777823,0.360643029833,96281.5544119,96281.8334961,19.5404683276,96281.4425993,19.968892392,15.5070111277,15.045712467,93858.9844795,93860.677152,19.3447345478,18.5462459899,18.2210332479,93872.1583103,93870.9410785,93875.0138862,93877.5653887,93878.3790368,93885.7501894,93886.7073845,46701.6915665,46696.3203478,46692.2701476,46688.3594022,46689.7238747,46690.018453,46686.9469538,46689.3679344,46699.7858247,17327.3875024,17328.767104,17328.4133459,17332.2874529,17333.2725671
LM-4d,96250.4917221,17335.5352617,17336.8673837,96251.3906865,17336.150883,96257.3234859,1.33172515075,96258.8505375,96267.4210348,0.368315676298,0.0,96266.638222,0.568793280792,96281.9148553,96282.1939398,19.2699280344,96281.8030435,19.7118051009,15.3180888472,14.8466056691,93859.3435278,93861.0362003,19.1462915572,18.3477422292,18.054931801,93872.5173594,93871.3001265,93875.3729306,93877.9244319,93878.7380793,93886.1092416,93887.0664374,46701.8089589,46696.4377223,46692.3875287,46688.4767054,46689.8411822,46690.1357682,46687.0641993,46689.4851464,46699.9032283,17327.5429468,17328.9225134,17328.5687771,17332.4427544,17333.427869
LE-3b,16.1565447008,87000.0498064,87004.3570482,15.2627404434,87003.7764002,9.48475247051,96266.2631569,7.88479476403,1.61671312873,96266.2777823,96266.638222,0.0,96266.2733932,15.9860054462,16.4079028069,96283.1159317,16.2365665952,96282.9335099,96276.9165356,96276.951746,2932.92438056,2931.61108026,96279.9412874,96279.3843759,96277.7937153,2921.67847407,2923.44145611,2922.44894756,2921.21986129,2921.02445117,2908.51428714,2907.28858783,83009.69655,83012.2339799,83011.4468868,83021.9585985,83021.3417208,83020.3053325,83029.7098157,83034.1310415,83008.2507041,86991.3272328,86992.2992647,86991.4600863,86995.6241987,86995.1491329
LM-4c,96250.1268959,17335.6662665,17336.9985659,96251.0258608,17336.2820324,96256.958649,0.841500402535,96258.4857032,96267.0562124,0.360643029833,0.568793280792,96266.2733932,0.0,96281.5500051,96281.8290874,19.3637850232,96281.4381884,19.7759312762,15.2497027957,14.796926256,93858.9864469,93860.6791198,19.0942783282,18.2960073882,17.9458189642,93872.1602743,93870.9430476,93875.0158706,93877.5673787,93878.3810299,93885.7521395,93886.7093316,46702.0001996,46696.6289905,46692.5787867,46688.6680829,46690.0325531,46690.3271273,46687.2556654,46689.6766639,46700.0944519,17327.6735035,17329.0531283,17328.6993558,17332.5735481,17333.558662
LE-4a,31.8633955679,87015.8821382,87020.1894753,30.9964058686,87019.6087991,24.7642494219,96281.5397277,23.3246696019,15.7344583596,96281.5544119,96281.9148553,15.9860054462,96281.5500051,0.0,0.581275720328,96298.3920762,1.09779956992,96298.2096006,96292.1926132,96292.2278568,2948.19917594,2946.88415347,96295.217247,96294.6603636,96293.0696541,2936.94212821,2938.70449795,2937.70285274,2936.46941094,2936.27216052,2923.76988477,2922.54429904,83025.3403968,83027.8780371,83027.0911052,83037.6029614,83036.9860303,83035.9496313,83045.3542269,83049.7753524,83023.8946279,87007.159219,87008.1313035,87007.2921037,87011.4563829,87010.981339
LE-4b,32.2263150792,87016.2390037,87020.5463606,31.3631716505,87019.9656785,25.1059859074,96281.8188055,23.6811207317,16.1940046233,96281.8334961,96282.1939398,16.4079028069,96281.8290874,0.581275720328,0.0,96298.6711079,0.701251385731,96298.4886264,96292.4716376,96292.5068848,2948.71680247,2947.40187616,96295.4962587,96294.9393782,96293.3486635,2937.46037341,2939.2227771,2938.22163388,2936.98842959,2936.79127921,2924.28857232,2923.06298028,83025.831723,83028.3693434,83027.5823963,83038.0942389,83037.4773128,83036.4409148,83045.8454997,83050.2666347,83024.3859468,87007.5160129,87008.4881083,87007.6489041,87011.8132178,87011.3381785
LM-1a,96266.969491,17353.4060625,17354.7358742,96267.8684669,17354.0198018,96273.8010101,18.9717966842,96275.3281193,96283.8988913,19.5404683276,19.2699280344,96283.1159317,19.3637850232,96298.3920762,96298.6711079,0.0,96298.2801511,1.11574755451,6.34843128023,6.20259240584,93875.9947617,93877.6874461,4.93595482223,4.920468196,6.7836651292,93889.1685024,93887.9514068,93892.0246235,93894.5762745,93895.3900044,93902.7600107,93903.7171271,46718.7747773,46713.4030707,46709.3530513,46705.4401894,46706.8047803,46707.0995678,46704.0261721,46706.4462412,46716.8693391,17345.4195748,17346.7983857,17346.4451196,17350.3163028,17351.3014258
LE-4c,31.9527949688,87015.9460079,87020.2533923,31.0954484086,87019.6727021,24.8063097144,96281.4279015,23.4025008549,16.0907330627,96281.4425993,96281.8030435,16.2365665952,96281.4381884,1.09779956992,0.701251385731,96298.2801511,0.0,96298.0976631,96292.0806726,96292.1159239,2948.721377,2947.40670576,96295.1052791,96294.5484021,96292.9576813,2937.46659237,2939.22908641,2938.22928309,2936.99671455,2936.79983229,2924.2959719,2923.07036305,83025.7721625,83028.3097382,83027.5227568,83038.0345687,83037.417654,83036.3812582,83045.7858193,83050.2069756,83024.3263699,87007.2229176,87008.1950281,87007.3558178,87011.5201795,87011.0451465
LM-1b,96266.7870758,17354.1779452,17355.5080149,96267.686053,17354.7918947,96273.6185679,19.3443596952,96275.1456834,96283.7164857,19.968892392,19.7118051009,96282.9335099,19.7759312762,96298.2096006,96298.4886264,1.11574755451,96298.0976631,0.0,6.02288675323,5.99590265265,93875.8317682,93877.524454,4.01618378608,4.12721093586,6.00512933346,93889.0054986,93887.7884187,93891.8616822,93894.4133503,93895.2270896,93902.5969644,93903.5540717,46719.630947,46714.2592772,46710.2092442,46706.2965418,46707.6611238,46707.9558955,46704.8826427,46707.3027804,46717.7254859,17346.1908057,17347.5697012,17347.2163824,17351.0878784,17352.0730005
LM-2b,96260.7701031,17350.7866202,17352.1182838,96261.6690805,17351.4018682,96267.6015887,14.6662584741,96269.1287057,96277.6995153,15.5070111277,15.3180888472,96276.9165356,15.2497027957,96292.1926132,96292.4716376,6.34843128023,96292.0806726,6.02288675323,0.0,0.679217046715,93869.8204311,93871.5131173,3.86869390787,3.07809108543,2.97104170031,93882.994158,93881.7770833,93885.8503627,93888.4020366,93889.2157791,93896.5856094,93897.5427137,46716.8097582,46711.438362,46707.3882275,46703.4767119,46704.8412275,46705.135882,46702.0636923,46704.484341,46714.9041268,17342.795456,17344.1748738,17343.8212301,17347.6946565,17348.6797727
LM-2a,96260.8053094,17350.2645722,17351.5960968,96261.7042861,17350.8797069,96267.6368117,14.2350604599,96269.1639248,96277.7347157,15.045712467,14.8466056691,96276.951746,14.796926256,96292.2278568,96292.5068848,6.20259240584,96292.1159239,5.99590265265,0.679217046715,0.0,93869.8436803,93871.5363657,4.29968693273,3.50113658221,3.61628859028,93883.0174136,93881.8003293,93885.8735799,93888.4252433,93889.2389799,93896.6088912,93897.566001,46716.2429669,46710.8715515,46706.8214242,46702.9098251,46704.2743454,46704.5690081,46701.4967437,46703.9173564,46714.3373476,17342.2737597,17343.6531318,17343.2995165,17347.1727742,17348.1578909
LV-1b,2919.28285691,84354.4395391,84358.6908322,2919.96059369,84358.1266755,2926.24874982,93858.9910427,2927.19446795,2932.77336909,93858.9844795,93859.3435278,2932.92438056,93858.9864469,2948.19917594,2948.71680247,93875.9947617,2948.721377,93875.8317682,93869.8204311,93869.8436803,0.0,1.6966524497,93872.8872266,93872.3203141,93870.7475084,13.2031054802,11.9650945803,16.6339813992,19.4933473179,20.5168376941,27.1408417286,28.2185088983,80089.8880821,80092.443543,80091.6703018,80102.1943617,80101.5728957,80100.5355993,80109.9496816,80114.3622664,80088.4488473,84345.9187614,84346.8601299,84346.0334483,84350.1002185,84349.6124453
LV-1a,2917.972742,84356.0908847,84360.3421602,2918.65025678,84359.7780086,2924.93792449,93860.6837167,2925.88315645,2931.45947932,93860.677152,93861.0362003,2931.61108026,93860.6791198,2946.88415347,2947.40187616,93877.6874461,2947.40670576,93877.524454,93871.5131173,93871.5363657,1.6966524497,0.0,93874.5799158,93874.0130026,93872.4401981,11.5241837529,10.2693809765,14.9756775387,17.8493078817,18.8840676203,25.4938786922,26.5807272218,80091.2987804,80093.8543036,80093.0811104,80103.6052129,80102.983731,80101.9464315,80111.3605468,80115.7731016,80089.8595685,84347.5701704,84348.5115292,84347.6848515,84351.7515912,84351.2638141
